Country,Regulator,Issuance,Year,Scope,Fraud Reporting,"Fraud controls (including authentication technology, IT related controls, user protection)",Incident management and reporting,Source_Original,Source_EN,Amendment_Of
Myanmar,Central Bank of Myanmar (CBM),Mobile Financial Services Regulations (2016),2016.0,Mobile financial services providers; ACH participants,"Submit a summary of all detected fraudulent activities to CBM, including suspicious transactions, fraudulent accounts, and blocked transactions. Reports should include corrective actions taken and any open fraud cases under investigation.
","- Real-time transaction monitoring, machine learnng, and rule-based algorithms to detect suspicious activities
- Velocity checks
- Geographical restriction
- Blacklist management
- Device fingerprinting","Regulation on Mobile Financial Services (MFS Regulation, FIL/R/01/03‑2016) — MFSPs & Agent networks: Incident reporting: MFSPs must notify CBM within 2 business days of suspected/confirmed fraud, security breaches, outages >2 hours, or loss of confidential data

MyanmarPay participants to notify CBM within 24 hours upon discovery of a security breach, providing detaisls on the nature of the incident, affected systems, and planned remediation efforts. After the incident is resolved, a post-incident review must be conducted to identify the root cause and recommend corrective actions to prevent future occurrences. Detailed incident reports should be shared with CBM.

",https://www.cbm.gov.mm/sites/default/files/regulate_launder/_fil-r-01_mobile_financial_services_regulation_eng_final_website_4-4-2016_-5.pdf,https://www.cbm.gov.mm/sites/default/files/regulate_launder/_fil-r-01_mobile_financial_services_regulation_eng_final_website_4-4-2016_-5.pdf,
Myanmar,Central Bank of Myanmar (CBM),"CENTRAL BANK OF MYANMAR 
Automated Clearing House",2021.0,,-do-,-do-,-do-,https://www.cbm.gov.mm/sites/default/files/cbm-net_ach_guideline.pdf,https://www.cbm.gov.mm/sites/default/files/cbm-net_ach_guideline.pdf,
Myanmar,Central Bank of Myanmar (CBM),AML/CFT Risk Based Management Guidance Note,2015.0,,-do-,-do-,-do-,https://www.cbm.gov.mm/sites/default/files/regulate_launder/annex_vii_cbm_risk_management_guidance_note_eng_9-1-2015-5_.pdf,https://www.cbm.gov.mm/sites/default/files/regulate_launder/annex_vii_cbm_risk_management_guidance_note_eng_9-1-2015-5_.pdf,
Myanmar,Central Bank of Myanmar (CBM),MyanmarPay - Digital Payment System Code of Conduct,2024.0,,-do-,-do-,-do-,https://myanmarpay.com.mm/frontend/assets/files/COCwithSetttlementandMFSP.pdf,https://myanmarpay.com.mm/frontend/assets/files/COCwithSetttlementandMFSP.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),Anti-Financial Account Scamming Act (RA 12010) and its Implementing Rules and Regulations;,2025.0,Banks and non-bank institutions subject to BSP supervision and/or regulation,"- Report on temporary holding of disputed funds to be submitted to the BSP every 15th of the month, covering data from the previous reference month
- Submit Report on Crimes and Losses (whether the crime is consummated, frustrated or attempted) within ten (10) calendar days from knowledge of the crime/incident. Where a thorough investigation and evaluation of facts is necessary to complete the report submit an initial report within 10 calendar days and a complete report within 20 calendar days from the termination of the investigation","- Automated and real-time fraud monitoring and detection systems with transaction velocity checks or thresholds, monitoring of mobile device and account information changes, geolocation and behavioral anomalies, and blacklist screening;
- Customer authentication controls; Any of the following: biometric authentication, behavioral biometrics, passwordless authentication, adaptive authentication
- 24-hour Transaction Pause Period after applying key account changes
- Temporary holding of funds subject of a disputed transaction; 
- Real-time customer notification through secure channels;
- Mechanisms to enable account holders to verify the identity of recipients of fund transfers; 
- Self-service facility that enables account holders to suspend their account, block outgoing financial transactions and prevent unauthorized changes to account information
- Money lock feature
- Customizable transaction limits
- Prohibition from sending clickable links or QR codes via email, instant messaging apps, or SMS
","- Notify the BSP within two (2) hours from the discovery of the following:
(i) Reportable major cyber-related incidents (events which may
seriously jeopardize the confidentiality, integrity or availability of critical information, data or systems of BSFIs, including their customers and other stakeholders)
(ii) Disruptions of financial services and operations which lasts for more than two (2) hours

- Submit follow-up report to the BSP within 24 hours from the discovery of the major cyber-related incident and/or disruption, with the following details:
(i) nature of the incident
(ii) manner and time of initial detection
(iii) impact of the incident based on initial assessment
(iv) initial response or actions taken/to be taken
(v) whether the incident resuts in activation of the business continuity plan and/or crisis management plan
",https://www.bsp.gov.ph/Regulations/Banking%20Laws/AFASA-Booklet-with-IRRs.pdf,https://www.bsp.gov.ph/Regulations/Banking%20Laws/AFASA-Booklet-with-IRRs.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),BSP Circular No. 1140 (Amendments to Regulations on IT Risk Management);,2022.0,,-do-,-do-,-do-,https://www.bsp.gov.ph/Regulations/Issuances/2022/1140.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2022/1140.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),BSP Memorandum No. M-2020-053 (Reminder on Sound Risk Management Practices to Mitigate Risks from Scams or Frauds);,2020.0,,-do-,-do-,-do-,https://www.bsp.gov.ph/Regulations/Issuances/2020/m053.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2020/m053.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),BSP Memorandum M-2022-015 (Recommended Control Measures Against Cyber Fraud on Retail EPFS);,2022.0,,-do-,-do-,-do-,https://www.bsp.gov.ph/Regulations/Issuances/2022/M-2022-015.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2022/M-2022-015.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),BSP Memorandum No. M-2024-030 (Protection of Consumer Assets Against Fraud),2024.0,,-do-,-do-,-do-,https://www.bsp.gov.ph/Regulations/Issuances/2024/M-2024-030.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2024/M-2024-030.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),BSP Circular No. 1019 (Technology and Cyber Risk Reporting and Notification Requirements),2018.0,,-do-,-do-,-do-,https://www.bsp.gov.ph/Regulations/Issuances/2018/c1019.pdf,https://www.bsp.gov.ph/Regulations/Issuances/2018/c1019.pdf,
