Country,Regulator,Issuance,Year,Scope,Fraud Reporting,"Fraud controls (including authentication technology, IT related controls, user protection)",Incident management and reporting,Source_Original,Source_EN,Amendment_Of
Thailand,Bank of Thailand (BOT),BOT Notification No. 19/2568 Re: Regulations on Standards and Measures to Prevent Technological Crimes for Financial Institutions,2025.0,Financial institutions; Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,No explicit provision,"- Preventive, detective, and responsive controls; Mandatory transaction monitoring; Restrictions on phishing vectors (cancellation of all types of links via SMS and email, and cancellation of attachments to important information through social media); restriction of the number of mobile banking accounts of each social network
- Monitoring and take down fake mobile application
- Biometrics for high-value transfers or limit changes
- Mandatory customer alerts and transaction notifications
- Establish emergency contact channel (hotline)
- limit losses and manage mule accounts",No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2568/EngPDF/25680154.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2568/EngPDF/25680154.pdf,
Thailand,Bank of Thailand (BOT),BOT Notification No. 58/2568 Re: Regulations on Standards and Measures to Prevent Technological Crimes for Business Provider under Payment System Laws,2025.0,Financial institutions; Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,No explicit provision,"- Preventive, detective, and responsive controls; Mandatory transaction monitoring; Restrictions on phishing vectors (cancellation of all types of links via SMS and email, and cancellation of attachments to important information through social media); restriction of the number of mobile banking accounts of each social network
- Monitoring and take down fake mobile application
- Biometrics for high-value transfers or limit changes
- Mandatory customer alerts and transaction notifications
- Establish emergency contact channel (hotline)
- limit losses and manage mule accounts",No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2568/ThaiPDF/25680259.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2568/ThaiPDF/25680259.pdf,
Thailand,Bank of Thailand (BOT),BOT Notification No. 18/2568 Security of Financial Services and Mobile Payment Services for Electronic Money (e‑Money) Business Operators Providing e‑Money Mobile Applications,2025.0,Financial institutions; Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,No explicit provision,"- Preventive, detective, and responsive controls; Mandatory transaction monitoring; Restrictions on phishing vectors (cancellation of all types of links via SMS and email, and cancellation of attachments to important information through social media); restriction of the number of mobile banking accounts of each social network
- Monitoring and take down fake mobile application
- Biometrics for high-value transfers or limit changes
- Mandatory customer alerts and transaction notifications
- Establish emergency contact channel (hotline)
- limit losses and manage mule accounts",No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FOG/2568/ThaiPDF/25680157.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FOG/2568/ThaiPDF/25680157.pdf,
Thailand,Bank of Thailand (BOT),BOT Notification No. 57/2568 Regulations on Digital Fraud Management,2025.0,Financial institutions; Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,"- Incidents causing widespread customer impact or reputational damage must be promptly reported to the BOT through designated channels.
- Submit fraud management report as specified by the BOT.","Adopt an end‑to‑end digital fraud management framework covering governance, detection, response, and post‑fraud customer care.",No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2568/ThaiPDF/25680254.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2568/ThaiPDF/25680254.pdf,
Thailand,Bank of Thailand (BOT),"BOT Notification No. SorNorChor. 14/2561
Re: Regulations on Reporting of Payment Information to the Bank of Thailand",2018.0,Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,Quarterly reporting to BOT of fraud through payment instruments and specific payment channels,No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610096.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610096.pdf,
Timor-Leste,Bank of Thailand (BOT),Decree-Law No. 17/2015 on the National Payment System,2015.0,National payment systems; banks; payment service providers and operators,Same as AML requirements,"General risk‑management requirements (liquidity, credit and settlement risk); AML/CFT obligations and agent‑management rules; e‑wallet pilot imposes KYC and transaction‑value limits
","No specific incident reporting regime identified; the NPS law only requires authorised entities to follow operational, reporting and disclosure requirements as set by BCTL",https://www.bancocentral.tl/uploads/documentos/documento_1479943794_3295.pdf,https://www.bancocentral.tl/uploads/documentos/documento_1479943794_3295.pdf,
Viet Nam,State Bank of Viet Nam (SBV),Circular No. 35/2016/TT-NHNN on safety and confidentiality of internet banking,2016.0,"Credit institutions, foreign bank branches, intermediary payment service providers","No later than the 10th day of each month, e-wallet service providers are required to submit to the SBV, upon request, information on e-wallets showing signs of fraud, scams, or other legal violations. In the event of any changes to such information, e-wallet service providers must promptly update and resubmit the information to the SBV, and remain responsible for the truthfulness and accuracy of the information and data provided.","- Strong authentication, transaction categorisation, monitoring, alerts, limits
- Biometric or electronic ID matching; OTP; NFC/chip ID card integration
- Enhanced authentication shielding customers for high-value transactions
- Technical solutions to ensure the information safety and security, as well as customers’ data, ensuring compliance with the legal regulations on personal data protection and the regulations on ensuring the safety and security of information systems.","- The total downtime for online payment service, online intermediary payment service must not exceed 4 hours per year, 30 minutes per occurrence, except in cases of force majeure or system maintenance and upgrades that have been notified to customers 24 hours in advance and reported to SBV
- Report to SBV within 4 hours upon detecting any disruptions lasting more than 30 minutes in the operation of online payment services, online intermediary payment services (including cases of force majeure or cases of exceeding the maintenance and upgrade that have been notified to customers 24 hours in advance). Send incident report within 3 working days from the incident resolution.",https://thuvienphapluat.vn/van-ban/EN/Tien-te-Ngan-hang/Circular-35-2016-TT-NHNN-safety-confidentiality-over-provision-of-banking-services-on-the-internet/337432/tieng-anh.aspx,https://thuvienphapluat.vn/van-ban/EN/Tien-te-Ngan-hang/Circular-35-2016-TT-NHNN-safety-confidentiality-over-provision-of-banking-services-on-the-internet/337432/tieng-anh.aspx,
Viet Nam,State Bank of Viet Nam (SBV),Circular No. 41/2025/TT-NHNN on Intermediary Payment Service,2025.0,,-do-,-do-,-do-,https://thuvienphapluat.vn/van-ban/EN/Tien-te-Ngan-hang/Circular-41-2025-TT-NHNN-amendment-to-Circular-40-2024-TT-NHNN-intermediary-payment-service/682302/tieng-anh.aspx,https://thuvienphapluat.vn/van-ban/EN/Tien-te-Ngan-hang/Circular-41-2025-TT-NHNN-amendment-to-Circular-40-2024-TT-NHNN-intermediary-payment-service/682302/tieng-anh.aspx,
Viet Nam,State Bank of Viet Nam (SBV),Circular No. 30/2025/TT-NHNN,2025.0,,-do-,-do-,-do-,https://thuvienphapluat.vn/van-ban/EN/Tien-te-Ngan-hang/Circular-30-2025-TT-NHNN-amendments-to-Circular-15-2024-TT-NHNN/677118/tieng-anh.aspx,https://thuvienphapluat.vn/van-ban/EN/Tien-te-Ngan-hang/Circular-30-2025-TT-NHNN-amendments-to-Circular-15-2024-TT-NHNN/677118/tieng-anh.aspx,
Viet Nam,State Bank of Viet Nam (SBV),Decision No. 2345/QD-NHNN (2023) – measures for safe online and card payments;,2023.0,,-do-,-do-,-do-,https://thuvienphapluat.vn/van-ban/Tien-te-Ngan-hang/Quyet-dinh-2345-QD-NHNN-2023-giai-phap-bao-mat-thanh-toan-truc-tuyen-va-the-ngan-hang-591895.aspx,https://thuvienphapluat.vn/van-ban/Tien-te-Ngan-hang/Quyet-dinh-2345-QD-NHNN-2023-giai-phap-bao-mat-thanh-toan-truc-tuyen-va-the-ngan-hang-591895.aspx,
Viet Nam,State Bank of Viet Nam (SBV),SBV Guidance Document No. 5262/NHNN-CNTT (2024),2024.0,,-do-,-do-,-do-,https://www.sbv.gov.vn/en/web/sbv_portal/w/sbv-s-guidance-on-implementation-of-decision-2345/qd-nhnn?p_l_back_url=%2Fen%2Fweb%2Fsbv_portal%2Ftim-kiem%3Fq%3DDocument%2BNo.%2B5262%252FNHNN-CNTT&p_l_back_url_title=T%C3%ACm+ki%E1%BA%BFm,https://www.sbv.gov.vn/en/web/sbv_portal/w/sbv-s-guidance-on-implementation-of-decision-2345/qd-nhnn?p_l_back_url=%2Fen%2Fweb%2Fsbv_portal%2Ftim-kiem%3Fq%3DDocument%2BNo.%2B5262%252FNHNN-CNTT&p_l_back_url_title=T%C3%ACm+ki%E1%BA%BFm,
