Country,Regulator,Issuance,Year,Information asset classification,Data ownership and accountability rules,Data security and confidentiality standards,Consent management standards,Data retention and archiving requirements,Data sharing and interoperability standards,Cross-border data transfer conditions,Data quality and integrity standards,Encryption/cryptography prescriptions,Incident/breach notification timelines,Third-party/outsourcing governance,Data localization rules,"Data Standards (e.g., ISO 20022)",Source_Original,Source_EN,Amendment_Of
Indonesia,Bank Indonesia (BI),BI Regulation No. 23/6/PBI/2021 — Payment Service Providers (PJP),2021.0,"No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs, Participants, and Connected Parties are required to maintain the confidentiality and security of user data and/or information.
The obligation to maintain the confidentiality and security of user data and/or information is stipulated in several regulations, including:
1. Cooperation between PSPs and Participants with Supporting Service Providers
2. The operation of payment system data infrastructure
3. Consumer protection
4. Risk management and information technology security standards
Such obligations shall be carried out in accordance with the provisions of laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs and Participants, in conducting data and/or information exchange involving parties other than PSPs and/or Participants, may carry out such exchange directly and/or indirectly through the payment system data infrastructure, provided that it does not conflict with the provisions of laws and regulations, including personal data protection, as well as Bank Indonesia regulations.","PSPs and Participants, in transferring data and/or information to parties outside the territory of the Unitary State of the Republic of Indonesia, may do so provided that it does not conflict with the provisions of laws and regulations, including personal data protection, as well as Bank Indonesia regulations.

In the event that such data and/or information transfer is contrary to the provisions of laws and regulations, including personal data protection, and Bank Indonesia regulations, Bank Indonesia may suspend the data and/or information transfer conducted by such PSPs and Participants.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs are required to submit ad hoc reports. One type of ad hoc report is a cyber incident report, which must be submitted no later than 3 (three) calendar days after the cyber incident occurs.

In addition, PSPs must notify Bank Indonesia of any disruption events and cyber incidents no later than 1 (one) hour after such disruption or cyber incident is known to the PSP.","PSPs may enter into cooperation with Supporting Service Providers. Such cooperation must be set out in a cooperation agreement, one of the contents of which relates to security and confidentiality. Prior to entering into cooperation, PSPs are required to conduct due diligence on the Supporting Service Providers with whom they intend to cooperate. One of the aspects covered in the due diligence process is compliance with applicable laws and regulations, including those relating to personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.",https://www.bi.go.id/id/publikasi/peraturan/Documents/PBI_230621.pdf,https://www.bi.go.id/id/publikasi/peraturan/Documents/PBI_230621.pdf,
Indonesia,Bank Indonesia (BI),BI Regulation No.10 of 2025 — The Regulation of the Payment Service Industry (PISP),2025.0,"No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs, Participants, and Connected Parties are required to maintain the confidentiality and security of user data and/or information.
The obligation to maintain the confidentiality and security of user data and/or information is stipulated in several regulations, including:
1. Cooperation between PSPs and Participants with Supporting Service Providers
2. The operation of payment system data infrastructure
3. Consumer protection
4. Risk management and information technology security standards
Such obligations shall be carried out in accordance with the provisions of laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs and Participants, in conducting data and/or information exchange involving parties other than PSPs and/or Participants, may carry out such exchange directly and/or indirectly through the payment system data infrastructure, provided that it does not conflict with the provisions of laws and regulations, including personal data protection, as well as Bank Indonesia regulations.","PSPs and Participants, in transferring data and/or information to parties outside the territory of the Unitary State of the Republic of Indonesia, may do so provided that it does not conflict with the provisions of laws and regulations, including personal data protection, as well as Bank Indonesia regulations.

In the event that such data and/or information transfer is contrary to the provisions of laws and regulations, including personal data protection, and Bank Indonesia regulations, Bank Indonesia may suspend the data and/or information transfer conducted by such PSPs and Participants.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs are required to submit ad hoc reports. One type of ad hoc report is a cyber incident report, which must be submitted no later than 3 (three) calendar days after the cyber incident occurs.

In addition, PSPs must notify Bank Indonesia of any disruption events and cyber incidents no later than 1 (one) hour after such disruption or cyber incident is known to the PSP.","PSPs may enter into cooperation with Supporting Service Providers. Such cooperation must be set out in a cooperation agreement, one of the contents of which relates to security and confidentiality. Prior to entering into cooperation, PSPs are required to conduct due diligence on the Supporting Service Providers with whom they intend to cooperate. One of the aspects covered in the due diligence process is compliance with applicable laws and regulations, including those relating to personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.",https://www.bi.go.id/id/publikasi/peraturan/Pages/PBI_102025.aspx#,https://www.bi.go.id/id/publikasi/peraturan/Pages/PBI_102025.aspx#,
Indonesia,Bank Indonesia (BI),"Regulation of the Member of the 
Board of Governance No. 32 of 2025 — The Regulation of the Payment Service Industry (PISP)",2025.0,"No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs, Participants, and Connected Parties are required to maintain the confidentiality and security of user data and/or information.
The obligation to maintain the confidentiality and security of user data and/or information is stipulated in several regulations, including:
1. Cooperation between PSPs and Participants with Supporting Service Providers
2. The operation of payment system data infrastructure
3. Consumer protection
4. Risk management and information technology security standards
Such obligations shall be carried out in accordance with the provisions of laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs and Participants, in conducting data and/or information exchange involving parties other than PSPs and/or Participants, may carry out such exchange directly and/or indirectly through the payment system data infrastructure, provided that it does not conflict with the provisions of laws and regulations, including personal data protection, as well as Bank Indonesia regulations.","PSPs and Participants, in transferring data and/or information to parties outside the territory of the Unitary State of the Republic of Indonesia, may do so provided that it does not conflict with the provisions of laws and regulations, including personal data protection, as well as Bank Indonesia regulations.

In the event that such data and/or information transfer is contrary to the provisions of laws and regulations, including personal data protection, and Bank Indonesia regulations, Bank Indonesia may suspend the data and/or information transfer conducted by such PSPs and Participants.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","PSPs are required to submit ad hoc reports. One type of ad hoc report is a cyber incident report, which must be submitted no later than 3 (three) calendar days after the cyber incident occurs.

In addition, PSPs must notify Bank Indonesia of any disruption events and cyber incidents no later than 1 (one) hour after such disruption or cyber incident is known to the PSP.","PSPs may enter into cooperation with Supporting Service Providers. Such cooperation must be set out in a cooperation agreement, one of the contents of which relates to security and confidentiality. Prior to entering into cooperation, PSPs are required to conduct due diligence on the Supporting Service Providers with whom they intend to cooperate. One of the aspects covered in the due diligence process is compliance with applicable laws and regulations, including those relating to personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.","No explicit provisions are stipulated, however, the matter remains subject to the applicable laws and regulations on personal data protection.",https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_322025.aspx,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_322025.aspx,
Indonesia,Otoritas Jasa Keuangan (OJK),POJK 22/2023,2023.0,No explicit provision,No explicit provision,PUJK must have and implement written Consumer Protection policies and procedures on protection of Consumer data and/or information,No explicit provision,PUJK must have and implement written Consumer Protection policies and procedures on  mechanisms for the use and deletion of consumer data and/or information.,No explicit provision,No explicit provision,"PUJK has the right to obtain and ensure information and/or documents concerning consumers are clear, accurate, truthful, and not misleading.",No explicit provision,No explicit provision,PUJK must ensure that third parties acting for or on behalf of PUJK comply with consumer protection provisions.,No explicit provision,No explicit provision,https://peraturan.bpk.go.id/Details/302699/peraturan-ojk-no-22-tahun-2023,https://peraturan.bpk.go.id/Details/302699/peraturan-ojk-no-22-tahun-2023,
Indonesia,Bank Indonesia,BI Regulation No. 3/2023 – BI’s Consumer Protection (Amendment),2023.0,No explicit provision,No explicit provision,"- Providers are required to provide Consumers with access to and copies of Consumer personal data in accordance with the provisions of laws and regulations on personal data protection; Providers are required to ensure that consumers have the right to may terminate, delete, and/or destroy consumer personal data in accordance with the provisions of laws and regulations on personal data protection","-Providers are prohibited from providing Consumers’ data
and/or information to other parties unless consumers provide written consent",No explicit provision,The consent from Consumers is required to be secured by Providers before providing Consumers’ data and/or information to other parties.,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"-If the Provider collaborates with another party to manage Consumer data and/or information, the Provider is required to ensure that the other party maintains the confidentiality and security of Consumer data and/or information.",No explicit provision,No explicit provision,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_032023_EN.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_032023_EN.pdf,
Indonesia,Bank Indonesia,Board of Governors Member Regulation No. 20 of 2023 — Procedures for BI Consumer Protection Implementation (PADG 20/2023),2023.0,No explicit provision,No explicit provision,"- Providers are required to provide Consumers with access to and copies of Consumer personal data in accordance with the provisions of laws and regulations on personal data protection; Providers are required to ensure that consumers have the right to may terminate, delete, and/or destroy consumer personal data in accordance with the provisions of laws and regulations on personal data protection","-Providers are prohibited from providing Consumers’ data
and/or information to other parties unless consumers provide written consent",No explicit provision,The consent from Consumers is required to be secured by Providers before providing Consumers’ data and/or information to other parties.,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"-If the Provider collaborates with another party to manage Consumer data and/or information, the Provider is required to ensure that the other party maintains the confidentiality and security of Consumer data and/or information.",No explicit provision,No explicit provision,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_202023.aspx,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_202023.aspx,
Lao PDR,Ministry of Technology and Communications (MTC),"Electronic Data Protection Law No.25/NA, 2017",2017.0,"Types of Electronic Data:
=General Information: is data of an individual, legal entity or organization that can be accessed, used and disclosed, but the source of the data must be correctly stated.
=Specific/Sensitvie information is information that no individual, legal entity, or organization is allowed to access, use, or disclose without permission from the owner of the information or the relevant organization. Specific information includes government information (official information) and personal information."," - Data owner: owns electronic data;
 - Data controller: responsible for managing electronic data, such as a ministry, an Internet data center, a telecommunications service provider, an Internet service provider, a bank; it must protect the data under its responsibility so that unauthorized persons cannot access, use, disclose, copy, modify, or delete the data.","To protect electronic data, data controllers must take the following measures:
1. Leveling of government information security;
2. Electronic data storage;
3. Security of access to information;
4. Data security encryption;
5. Data breach response.","- The State attaches importance to electronic data protection to ensure the safe use of data and to limit the use or disclosure of data of individuals, legal entities or organizations to the public without permission.
- A person, legal entity or organization that wants to collect data must inform the data owner of the purpose, details of the data to be collected, who will manage it and the rights of the data owner.","-The data controller may retain electronic data for the period necessary for the purpose of collection and other purposes. Thereafter, personal data may be deleted or access blocked, unless otherwise provided by law.
-The data controller shall delete the electronic data it has collected at the request of the data subject or upon the termination of the purpose of use, the expiry of the collection period",prohibition on Sending or transferring electronic information without authorization from the owner of the information;,"A person, legal entity or organization may not send or transfer personal data and official data outside the Lao PDR without the consent of the data owner or if it is contrary to the law.","Data owners and data managers must check and ensure the accuracy and integrity of data to ensure that the content of electronic data does not conflict with laws and regulations and does not affect socio-economic development, national security, peace and order in society","When sending or transferring important electronic data, such as financial, banking, investment, and accounting data through a computer system, the data controller must encrypt the data and use an electronic certificate approved by the Ministry of Posts, Telecommunications, and Communications to prevent unauthorized persons from accessing, reading, destroying, using, disclosing, sending, transferring, modifying, deleting, altering, and doing other things that cause damage.","To respond to a data breach, take the following actions:

1. The data controller shall use prevention and remediation methods when notified by an individual, legal entity or organization about the transmission of information that may cause or create unrest in society;

2. The data controller shall coordinate with relevant sectors to collect information and evidence about the intrusion, such as the date, time, location, form and volume of the intrusion, the impact and source of the intrusion for resolution; in cases where resolution is not possible, the incident shall be reported to the Computer Emergency Response Center of the Ministry of Posts, Telecommunications and Communications;

3. The Computer Emergency Response Center coordinates with the information security management unit of the data controller and relevant domestic and foreign sectors to prevent and resolve incidents in a timely manner.","The data controller may not provide personal data it has collected, stored or managed to a third party without the consent of the data owner or with the request of the relevant competent state agency as provided by law.",No explicit provision,No explicit provision,https://www.laoofficialgazette.gov.la/kcfinder/upload/files/0918570.pdf,https://mtc.gov.la/index.php?r=site%2Fdetail&id=346,
Lao PDR,Bank of the Lao P.D.R (BOL),Law on Payment System (Amended) No.45/NA,2023.0,No explicit provision ,Payment service provider and Retail Payment System Operator's duties include keeping all information of the transactions related to the operation of its payment system,-Payment service providers must comply with Know-Your-Customer (KYC) and user’s information confidentiality principle as stipulated in the law.,- Payment system operators/service providers are prohibited to disclose end user’s information/legal entity/organization without consent or permission,"Information, documents and/or electronic records shall be kept at least for a period of Ten years following the completion of documents or transactions or expiration of contracts.",No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,"Payment System Operator(PSO) and Payment Service Provider (PSP) has the right to hire external outsourcer to provide payment service on its behalf, and to be responsible for damages caused by the external outsourcer as such damages were caused by Payment System Operator(PSO) and Payment Service Provider (PSP)",No explicit provision,No explicit provision,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,
Lao PDR,Bank of the Lao P.D.R (BOL),Decree on Financial Consumer Protection (Decree No. 225/GOV),2020.0,No explicit provision ,"- Service Provider shall store the customer's data and shall not disclosure to other person without permission or non authorised organisation concerned.
- Service provider may disclose information of customer to third party if it is consented in written from consumer
- Service Provider must keep consumer's information confidentially.","-The information of consumer (financial information, passwords) is personal data. Service provider shall store the customer's data and shall not disclose such information without permission or non-authorized organization concerned
-Service provider shall inform and instruct the clients about safeguard the password.
-In case the passwords of consumer is leaked or disclosed without permission, service provider shall record and inform to affected consumer immediately. In the case the leaked and disclosed information cause significant or widespread affects, the service provider shall make record and report to the financial customer protection supervisory authority immediately.
- Service provider must report on consumer protection activity to the Bank of the Lao PDR on a regular basis. In case of any problem that may affect a wide range of consumers, it sahll be reported to the Bank of the Lao PDR as urgency","- Service Provider shall store the customer's data and shall not disclosure to other person without permission or non authorised organisation concerned.
- Service provider may disclose information of customer to third party if it is consented in written from consumer","Service provider shall store the customer's data and shall not disclosure to other person without permission. The customer's data might be stored in hardcopy and electric forms.
Service provider shall inform and instruct the clients about safeguard the password.",No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,"In case the passwords of consume is leaked or disclosed without permission, service provider shall record and inform the affected  consumer immediately. In the case the leaked and disclosed information cause significant or widespread affects, the service provider shall make record and report to the finnancial consumer protection supervisory authority immediately.",-Service provider may disclose information of consumer to third party if it is consented in written from consumer. ,No explicit provision,No explicit provision,http://www.lsp.moic.gov.la/index.php?r=site%2Fdisplaylegal&id=505#mlist,https://www.bol.gov.la/en/fileupload/05-01-2026_1767584786.pdf,
Lao PDR,Bank of the Lao P.D.R (BOL),Decision on the Payment Service System No.511/BOL Dated 19 June 2025,2025.0,No explicit provision ,No explicit provision ,No explicit provision ,,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,"in emergency case that have widespread affected, such as the struck of IT system, PSP shall report to Payment Systems Oversight Department within 24 hours. ","Payment Service Provider (PSP) can hire the external outsoucer to manage some of their IT system and PSP must ensure the continnuety, safety, integrity and damages to their customer caused by using external outsourcer as such damages were caused by themselves.

PSP who hire the external outsoucer to provide service on behalf of them, must:
1. Have the rule that identify the process and procedures of selecting, monitoring, assessment and auditing the external outsourcer, the assessment also including consumer confidentially, Data privacy and effect on their services
2. Have a service agreement between PSP and the external outsourcer that identify rights and duties of internal control staff, external audit and Payment Systems Oversight Department staff for inspection the operational and internal control of the external outsourcer in payment service
3. Have a clear Business Continuety Management (BCM), Business Continuety Plan (BCP) and Disaster Recovery Plan (DRP)
4. Assessment on the possible risk (in case of using foreign external outsourcer to store, process or operate the data or transactions) including information access risk, cross-border compliance, and create an action plan to handle with those risks",Customer data must be stored and located in Lao PDR  (shall have physical data center),"BOL issued the Decision on Standard of Message Specification for Payment Systems No.1098/BOL, 2023

https://www.bol.gov.la/fileupload/21-12-2023_1703141176.pdf ",https://www.bol.gov.la/fileupload/30-06-2025_1751250479.pdf,https://www.bol.gov.la/fileupload/30-06-2025_1751250479.pdf,
Malaysia,Bank Negara Malaysia (BNM),Risk Management in Technology (RMiT) policy document,2025.0,risk classification of all information assets / systems is based on its criticality,data owners are accountable and responsible for identifying and appropriately classifying data,"A financial institution must establish appropriate governance requirements commensurate with the risk and complexity. At a minimum, due regard shall be given to the adequacy and configuration of security controls throughout the project life cycle to mitigate cybersecurity breaches or exposure of confidential data","To mitigate privacy concerns, the financial institution must seek consent from the customer prior to effecting the customer device profiling..","A financial institution should assess the potential impact and formalise
arrangements with cloud service providers to comply with local laws and
regulatory requirements for incident investigation and law enforcement
purposes. This would include adhering to data retention requirements and data access procedural arrangements to ensure the confidentiality and privacy of the customers are protected",No explicit provision,"Risk assessments must cover location of cloud infrastructure, including geo‑political and legal risks that may impede compliance.
CIRP must include readiness to manage incidents where data resides in a foreign jurisdiction.","As part of risk assessment report, a financial institution must have controls must protect the integrity of transactions and information, including:

end‑to‑end encryption
multilayer network security
absence of single points of failure
audit trail capabilities","Adopt industry‑standard encryption algorithms, digital signatures, random number generation;Conduct annual review of cryptographic standards.;Maintain cryptographic inventory mapped to systems.

A financial institution must conduct due diligence and evaluate the
cryptographic controls associated with the technology used in order to protect the confidentiality, integrity, authentication, authorisation and nonrepudiation of information","A financial institution must notify BNM of cyber incidents according to Operational Risk Reporting, BCM, Merchant Acquiring policies, and any other relevant policies.
Customer Information Breaches-Within 1 working day upon the tabling of the investigation report to the Board.","Data accessible by third parties must be clearly identified, and safeguards must be implemented to protect and control third‑party access.
Board and senior management must oversee risks when engaging third‑party providers.","Institutions must ensure cloud usage does not impair compliance with local Malaysian laws, including in foreign jurisdictions.",Must follow internationally recognized security and cryptography standards.,https://www.bnm.gov.my/documents/20124/938039/pd-rmit-nov25.pdf,https://www.bnm.gov.my/documents/20124/938039/pd-rmit-nov25.pdf,
Malaysia,Personal Data Protection Commissioner (PDPC),Personal Data Protection Act 2010 (PDPA),2024.0,"The law covers the following:
- personal data:information relating to an identifiable individual in commercial transactions.
-sensitive personal data: data relating to health, religion, political views, criminal offences, or other categories determined by the Minister.","Data user is defined as someone who processes any personal data or has control over or authorizes the processing of any personal data, but does not include a data processor","A data user shall take practical steps to protect personal data from loss, misuse, modification, unauthorized or accidental access or disclosure, alteration, or destruction,Consider the nature/sensitivity of the data and potential harm, the storage location/environment and the security features of the equipment storing the data, and ensure reliability, integrity, and competence of personnel with access and secure transfer of personal data","• Data user must inform the data subject via written notice
 (a) that personal data of the data subject is being processed by or on behalf of the data user, and shall provide a description of the personal data to that data subject;
(b) the purpose
(c) any information available to the data user as to the source of that personal data;
(d) data subject’s right to request access to and to request correction of the personal data
(e) third parties to whom the data user discloses or may disclose the personal data;
 (f) choices and means the data user offers the data subject for limiting the processing of personal data,including personal data relating to other persons who may be identified from that personal data;
 (g) whether it is obligatory or voluntary for the data subject to supply the personal data; and
 (h) where it is obligatory for the data subject to supply the personal data, the consequences for the data subject if he fails to supply the personal data.
• data user may withdraw consent","(1) The personal data processed for any purpose shall not be kept longer than is necessary for the fulfilment of that purpose.
(2) Data user must take all reasonable steps to ensure that all personal data is destroyed or permanently deleted if it is no longer required for the purpose for which it was to be processed.","Data User must not disclose personal data:
- for any purpose other than the purpose for which the data was to be disclosed at the time of collection; or
- to any party not related to that purpose.","A Data User may not transfer personal data outside Malaysia unless:

-the destination country is on the Commissioner’s approved list, or
-the data subject has given consent, or
-the transfer is necessary for contractual, legal, or public interest purposes or
-the Data User has taken sufficient safeguards to protect the data.","Data User must take reasonable steps to ensure that the personal data it processes is accurate, complete, not misleading, kept up‑to‑date, having regard to the purpose of the data
Data subjects have the right to access their data and request corrections. This ensures integrity by enabling verification, correction, and updating
Data User to take practical steps to protect the data from loss, misuse, modification, unauthorized access, alteration, or destruction",No explicit provision,"-Where a data controller has reason to believe that a personal data breach has occurred, the data controller shall, as soon as practicable, notify the Commissioner in the manner and form as determined by the Commissioner","Where processing of personal data is carried out by a data
processor on behalf of the data user, the data user shall, for the
purpose of protecting the personal data from any loss, misuse,
modification, unauthorized or accidental access or disclosure,
alteration or destruction, ensure that the data processor—
 (a) provides sufficient guarantees in respect of the technical
and organizational security measures governing the
processing to be carried out; and
 (b) takes reasonable steps to ensure compliance with those
measures

The data controller shall, through a contract or other reasonable means, impose an obligation on the data processor to notify and provide all reasonable and necessary assistance to the data controller in complying with its obligations under Act 709.",No explicit provision,No explicit provision,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-amendment-act-2024/,https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-amendment-act-2024/,
Malaysia,"Personal Data Protection Commissioner (PDPC), Malaysia",Circular of the Personal Data Protection Commissioner No. 1/2025 – Data Breach Notification,2025.0,No explicit provision,Data controller's obligation includes notifying the Commissioner and data subjects if the data controller believes that a personal data breach has occurred.,No explicit provision,No explicit provision,The data controller shall maintain a record of the notification of the personal data breach in physical and electronic form. The record shall be kept for at least two (2) years from the date of the personal data breach.,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"Notification to the Commissioner shall be made as soon as practicable in accordance with the procedure provided for
in this Circular.

Data controller must submit to the commissioner within seventy two (72) hours from the occurrence of the personal data breach  the following information:
a) details of the personal data breach that has occurred
b)the likelihood of the personal data breach occuring
c) “the chronology of the incident that resulted in the loss of control over the personal data;”
d) the measures taken or proposed to be taken by the data controller to address the personal data breach, including the measures taken or to be taken to reduce the possible adverse effects of the personal data breach
e) “the measures taken or proposed to be taken to address the affected data subjects;”
f) “the details of the data protection officer or other contact information from whom further information regarding the personal data breach can be obtained.
• If data controller can’t provide the information needed for the notification, such information shall be provided to the Commissioner in stages as soon as practicable and no later than thirty (30) days from the date of the notification made
• Within seven (7) days after the personal data breach notification is made by the data controller to the Commissioner, the data controller shall provide the affected data subjects with the information",No explicit provision,No explicit provision,No explicit provision,https://www.pdp.gov.my/ppdpv1/en/akta/circular-of-personal-data-protection-commissioner-no-1-2025-data-breach-notification/,https://www.pdp.gov.my/ppdpv1/en/akta/circular-of-personal-data-protection-commissioner-no-1-2025-data-breach-notification/,
Malaysia,Ministry of Domestic Trade and Cost of Living,Consumer Protection Act 1999 [Act 599] (Amended),2019.0,No explicit provision,No explicit provision,"A credit facility provider shall not disclose or circulate the personal data of a purchaser obtained under a credit sale transaction to a third party unless the purchaser has been informed of the purpose of such disclosure or circulation and a written consent
of the purchaser has been obtained. ",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1690994_BI/011121_Act%20599_final.pdf,https://aseanconsumer.org/file/pdf_file/CONSUMER%20PROTECTION%20ACT%201999%20AMENDMENT%202019%20.pdf,
Malaysia,Bank Negara Malaysia (BNM),"Financial Services Act 2013, Part VIII – Business Conduct & Consumer Protection (Amended)",2021.0,No explicit provision,No explicit provision,"-Nothing in this Act shall authorize the Minister to direct the Bank or authorize the Bank to inquire specifically into the affairs or account of any customer of any authorized person.
'-No person who has access to any document or information relating to the affairs or account of any customer of a financial institution shall disclose to another person any document or information relating to the affairs or account of any customer of the financial institution.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1867218_BI/Act%20758%20Final.pdf
https://www.investmalaysia.gov.my/media/xrnl0vfp/financial-services-act-2013.pdf","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1867218_BI/Act%20758%20Final.pdf
https://www.investmalaysia.gov.my/media/xrnl0vfp/financial-services-act-2013.pdf",
Malaysia,Bank Negara Malaysia (BNM),"Participation Rules for Payments & Securities Services, 2021 (Revised)",2025.0,No explicit provision,No explicit provision,"-Participants shall, at all times, keep confidential all information obtained in the course of their participation in RENTAS and FAST.",-Personal information of an individual held by BNM relating to the relevant Payments and Securities Services shall be processed and/or used in accordance with Personal Data Protection Act 2010. The Participant hereby warrants that consent from the data subjects has been obtained by the Participants for all personal data transferred to BNM for the purpose of providing the services to the Participants. ,"Participants and BNM are required to retain documents, records and other information related to Payments and Securities Services as required under the Law.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://www.bnm.gov.my/documents/20124/943361/Participation_Rules_for_Payments_and_Securities_V3.pdf,https://www.bnm.gov.my/documents/20124/943361/Participation_Rules_for_Payments_and_Securities_V3.pdf,
Malaysia,Bank Negara Malaysia (BNM),Fair Treatment of Financial Consumers,2024.0,No explicit provision,No explicit provision,"-When information delivered contains financial consumers’ financial information, such as in a periodic statement, a FSP must ensure that the information is adequately protected
-A FSP shall have controls in place to ensure that its staff, representatives and agents preserve the confidentiality of the information disclosed by financial consumers, particularly those identified as vulnerable. The information shall only be used for purposes of providing advice on or recommending a financial service or product to the financial consumers and must not be used in a manner that could be detrimental to the financial consumers.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://www.bnm.gov.my/documents/20124/938039/pd_fair_treatment_march2024.pdf,https://www.bnm.gov.my/documents/20124/938039/pd_fair_treatment_march2024.pdf,
Myanmar,Central Body of Electronic Transactions,Electronic Transactions Law and its 2021 amendments,2021.0,"The Personal Data Management Officer shall systematically store, protect and process personal data that he is responsible for according to its type, and level of security in accordance with the Law","Personal Data Management Officer means a person and its staff authorised by a governmental department or an organisation to be responsible for collecting, retaining, and using personal data in accordance with the law, or any existing laws","The investigation team, or the person mandated or instructed to act on their behalf,
who receives information that includes personal data in accordance with the existing laws, shall keep the information confidential except when disclosing the information to persons permitted","The personal data management officer shall prohibit the examination, disclosure, informing, dissemination, transmission, alteration, destruction, copying, or submission as evidence of the personal data of an individual without the consent of such individual, or the permission by the provision of an existing law to any individual or organization;","The personal data management officer shall systematically destroy all personal data that are retained, within a retention period, after the designated period expires",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,Myanmar: The Electronic Transactions Law,Myanmar: The Electronic Transactions Law,
Myanmar,Central Bank of Myanmar (CBM),Financial Institutions Law (FIL),2016.0,No explicit provision,No explicit provision,"-A bank shall keep secret the information relating to the affairs or the account, record, and transaction of a customer of a bank.
- No director, officer or employee of any bank licensed institution whether during his tenure of office, or thereafter, and no person who has by any means, access to
customer information, shall provide or otherwise disclose to any person, such customer information.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"https://www.cbm.gov.mm/content/1755
https://myanmar-law-library.org/topics/myanmar-banking-law/fiml-laws/financial-institutions-law-2016.html","https://www.cbm.gov.mm/content/1755
https://myanmar-law-library.org/topics/myanmar-banking-law/fiml-laws/financial-institutions-law-2016.html",
